sample_id,source_dataset,source_attribution,image_name,object_category,packaging_category,mapped_categories,material_family,material_subtype,confidence,is_packaging,source_label,mapping_confidence,mapping_source,notes,raw_fields
taco_prediction_0000,TACO,user_supplied; dataset membership not independently verified,img_0.jpg,beverage,other_packaging,"[""other_packaging""]",glass,glass,,True,"[""bottle"", ""cap""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_0.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""glass""], ""components"": [""bottle"", ""cap""], ""issues"": []}}"
taco_prediction_0001,TACO,user_supplied; dataset membership not independently verified,img_1.jpg,unknown,other_packaging,"[""other_packaging""]",paper,cardboard,,True,"[""outer box""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_1.jpg"", ""analysis"": {""package_type"": ""unknown"", ""materials"": [""cardboard""], ""components"": [""outer box""], ""issues"": []}}"
taco_prediction_0002,TACO,user_supplied; dataset membership not independently verified,img_10.jpg,beverage,other_packaging,"[""other_packaging""]",glass,glass,,True,"[""bottle"", ""cap""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_10.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""glass""], ""components"": [""bottle"", ""cap""], ""issues"": []}}"
taco_prediction_0003,TACO,user_supplied; dataset membership not independently verified,img_11.jpg,unknown,other_packaging,"[""metal_can"", ""paperboard"", ""plastic_bag""]",unknown,unknown,,True,"[""can"", ""plastic bag"", ""cardboard""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_11.jpg"", ""analysis"": {""package_type"": ""unknown"", ""materials"": [""plastic"", ""plastic film""], ""components"": [""can"", ""plastic bag"", ""cardboard""], ""issues"": []}}"
taco_prediction_0004,TACO,user_supplied; dataset membership not independently verified,img_12.jpg,beverage,other_packaging,"[""other_packaging"", ""plastic_tray""]",unknown,unknown,,True,"[""outer box"", ""bottle"", ""cap"", ""plastic tray"", ""protective film"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_12.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic"", ""glass""], ""components"": [""outer box"", ""bottle"", ""cap"", ""plastic tray"", ""protective film"", ""label""], ""issues"": []}}"
taco_prediction_0005,TACO,user_supplied; dataset membership not independently verified,img_13.jpg,beverage,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""bottle"", ""cap""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_13.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic""], ""components"": [""bottle"", ""cap""], ""issues"": []}}"
taco_prediction_0006,TACO,user_supplied; dataset membership not independently verified,img_14.jpg,personal care,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""bottle"", ""cap"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_14.jpg"", ""analysis"": {""package_type"": ""personal care"", ""materials"": [""plastic""], ""components"": [""bottle"", ""cap"", ""label""], ""issues"": []}}"
taco_prediction_0007,TACO,user_supplied; dataset membership not independently verified,img_15.jpg,personal care,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""bottle"", ""cap"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_15.jpg"", ""analysis"": {""package_type"": ""personal care"", ""materials"": [""plastic""], ""components"": [""bottle"", ""cap"", ""label""], ""issues"": []}}"
taco_prediction_0008,TACO,user_supplied; dataset membership not independently verified,img_16.jpg,personal care,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""canister"", ""cap""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_16.jpg"", ""analysis"": {""package_type"": ""personal care"", ""materials"": [""plastic""], ""components"": [""canister"", ""cap""], ""issues"": []}}"
taco_prediction_0009,TACO,user_supplied; dataset membership not independently verified,img_17.jpg,beverage,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""cup""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_17.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic""], ""components"": [""cup""], ""issues"": []}}"
taco_prediction_0010,TACO,user_supplied; dataset membership not independently verified,img_18.jpg,unknown,plastic_bottle,"[""plastic_bottle""]",plastic,plastic,,True,"[""plastic bottle""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_18.jpg"", ""analysis"": {""package_type"": ""unknown"", ""materials"": [""plastic""], ""components"": [""plastic bottle""], ""issues"": []}}"
taco_prediction_0011,TACO,user_supplied; dataset membership not independently verified,img_19.jpg,food,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""pouch""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_19.jpg"", ""analysis"": {""package_type"": ""food"", ""materials"": [""plastic""], ""components"": [""pouch""], ""issues"": []}}"
taco_prediction_0012,TACO,user_supplied; dataset membership not independently verified,img_2.jpg,beverage,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""bottle"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_2.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""plastic""], ""components"": [""bottle"", ""label""], ""issues"": []}}"
taco_prediction_0013,TACO,user_supplied; dataset membership not independently verified,img_20.jpg,food,other_packaging,"[""metal_can"", ""other_packaging""]",metal,metal,,True,"[""can"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_20.jpg"", ""analysis"": {""package_type"": ""food"", ""materials"": [""metal""], ""components"": [""can"", ""label""], ""issues"": []}}"
taco_prediction_0014,TACO,user_supplied; dataset membership not independently verified,img_21.jpg,food,other_packaging,"[""metal_can"", ""other_packaging""]",metal,metal,,True,"[""can"", ""pull tab""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_21.jpg"", ""analysis"": {""package_type"": ""food"", ""materials"": [""metal""], ""components"": [""can"", ""pull tab""], ""issues"": []}}"
taco_prediction_0015,TACO,user_supplied; dataset membership not independently verified,img_22.jpg,beverage,other_packaging,"[""metal_can"", ""other_packaging""]",metal,metal,,True,"[""can"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_22.jpg"", ""analysis"": {""package_type"": ""beverage"", ""materials"": [""metal""], ""components"": [""can"", ""label""], ""issues"": []}}"
taco_prediction_0016,TACO,user_supplied; dataset membership not independently verified,img_23.jpg,cleaning products,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""bottle"", ""cap"", ""label""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_23.jpg"", ""analysis"": {""package_type"": ""cleaning products"", ""materials"": [""plastic""], ""components"": [""bottle"", ""cap"", ""label""], ""issues"": []}}"
taco_prediction_0017,TACO,user_supplied; dataset membership not independently verified,img_24.jpg,personal care,other_packaging,"[""other_packaging""]",plastic,plastic,,True,"[""canister"", ""cap""]",0.7,PackLess curated lexical mapping v1; not ground-truth verification,"Image-level prediction, not ground truth. Materials and components are NOT paired by array index. Multiple materials do not imply a composite laminate.","{""source_file"": ""img_24.jpg"", ""analysis"": {""package_type"": ""personal care"", ""materials"": [""plastic""], ""components"": [""canister"", ""cap""], ""issues"": []}}"
