factor_id,material_family,material_subtype,factor_kgco2e_per_kg,original_value,original_unit,conversion_divisor,source,year,verified,verification_scope,source_file,source_sha256,sheet,cell,source_label,material_origin,system_boundary
defra2024_plastic_film_primary_material_production,plastic,plastic_film,2.9104652900000003,2910.46529,kg CO2e/tonne,1000,UK Government DEFRA 2024 Greenhouse Gas Conversion Factors,2024,True,"Value and unit extracted from supplied workbook, not package material verification",ghg-conversion-factors-2024-condensed_set__for_most_users__v1_1.xlsx,02287cec3dfc1f3e6bee8871b88339cc1c6bcb9ac6b243f85818e475334bf301,Material use,D73,Plastics: average plastic film,primary_material_production,Material procurement / cradle-to-gate; excludes use and end-of-life
defra2024_plastic_film_closed_loop_source,plastic,plastic_film,1.09458257,1094.58257,kg CO2e/tonne,1000,UK Government DEFRA 2024 Greenhouse Gas Conversion Factors,2024,True,"Value and unit extracted from supplied workbook, not package material verification",ghg-conversion-factors-2024-condensed_set__for_most_users__v1_1.xlsx,02287cec3dfc1f3e6bee8871b88339cc1c6bcb9ac6b243f85818e475334bf301,Material use,G73,Plastics: average plastic film,closed_loop_source,Material procurement / cradle-to-gate; excludes use and end-of-life
defra2024_hdpe_primary_material_production,plastic,hdpe,3.0863903799999997,3086.39038,kg CO2e/tonne,1000,UK Government DEFRA 2024 Greenhouse Gas Conversion Factors,2024,True,"Value and unit extracted from supplied workbook, not package material verification",ghg-conversion-factors-2024-condensed_set__for_most_users__v1_1.xlsx,02287cec3dfc1f3e6bee8871b88339cc1c6bcb9ac6b243f85818e475334bf301,Material use,D75,Plastics: HDPE (incl. forming),primary_material_production,Material procurement / cradle-to-gate; excludes use and end-of-life
defra2024_hdpe_closed_loop_source,plastic,hdpe,1.76180819,1761.80819,kg CO2e/tonne,1000,UK Government DEFRA 2024 Greenhouse Gas Conversion Factors,2024,True,"Value and unit extracted from supplied workbook, not package material verification",ghg-conversion-factors-2024-condensed_set__for_most_users__v1_1.xlsx,02287cec3dfc1f3e6bee8871b88339cc1c6bcb9ac6b243f85818e475334bf301,Material use,G75,Plastics: HDPE (incl. forming),closed_loop_source,Material procurement / cradle-to-gate; excludes use and end-of-life
defra2024_ldpe_lldpe_primary_material_production,plastic,ldpe_lldpe,2.95931834,2959.31834,kg CO2e/tonne,1000,UK Government DEFRA 2024 Greenhouse Gas Conversion Factors,2024,True,"Value and unit extracted from supplied workbook, not package material verification",ghg-conversion-factors-2024-condensed_set__for_most_users__v1_1.xlsx,02287cec3dfc1f3e6bee8871b88339cc1c6bcb9ac6b243f85818e475334bf301,Material use,D76,Plastics: LDPE and LLDPE (incl. forming),primary_material_production,Material procurement / cradle-to-gate; excludes use and end-of-life
defra2024_ldpe_lldpe_closed_loop_source,plastic,ldpe_lldpe,1.08891851,1088.91851,kg CO2e/tonne,1000,UK Government DEFRA 2024 Greenhouse Gas Conversion Factors,2024,True,"Value and unit extracted from supplied workbook, not package material verification",ghg-conversion-factors-2024-condensed_set__for_most_users__v1_1.xlsx,02287cec3dfc1f3e6bee8871b88339cc1c6bcb9ac6b243f85818e475334bf301,Material use,G76,Plastics: LDPE and LLDPE (incl. forming),closed_loop_source,Material procurement / cradle-to-gate; excludes use and end-of-life
defra2024_pet_plastic_primary_material_production,plastic,pet_plastic,3.85491851,3854.91851,kg CO2e/tonne,1000,UK Government DEFRA 2024 Greenhouse Gas Conversion Factors,2024,True,"Value and unit extracted from supplied workbook, not package material verification",ghg-conversion-factors-2024-condensed_set__for_most_users__v1_1.xlsx,02287cec3dfc1f3e6bee8871b88339cc1c6bcb9ac6b243f85818e475334bf301,Material use,D77,Plastics: PET (incl. forming),primary_material_production,Material procurement / cradle-to-gate; excludes use and end-of-life
defra2024_pet_plastic_closed_loop_source,plastic,pet_plastic,2.20491851,2204.91851,kg CO2e/tonne,1000,UK Government DEFRA 2024 Greenhouse Gas Conversion Factors,2024,True,"Value and unit extracted from supplied workbook, not package material verification",ghg-conversion-factors-2024-condensed_set__for_most_users__v1_1.xlsx,02287cec3dfc1f3e6bee8871b88339cc1c6bcb9ac6b243f85818e475334bf301,Material use,G77,Plastics: PET (incl. forming),closed_loop_source,Material procurement / cradle-to-gate; excludes use and end-of-life
defra2024_pp_primary_material_production,plastic,pp,2.5685889200000003,2568.58892,kg CO2e/tonne,1000,UK Government DEFRA 2024 Greenhouse Gas Conversion Factors,2024,True,"Value and unit extracted from supplied workbook, not package material verification",ghg-conversion-factors-2024-condensed_set__for_most_users__v1_1.xlsx,02287cec3dfc1f3e6bee8871b88339cc1c6bcb9ac6b243f85818e475334bf301,Material use,D78,Plastics: PP (incl. forming),primary_material_production,Material procurement / cradle-to-gate; excludes use and end-of-life
defra2024_pp_closed_loop_source,plastic,pp,1.30358892,1303.58892,kg CO2e/tonne,1000,UK Government DEFRA 2024 Greenhouse Gas Conversion Factors,2024,True,"Value and unit extracted from supplied workbook, not package material verification",ghg-conversion-factors-2024-condensed_set__for_most_users__v1_1.xlsx,02287cec3dfc1f3e6bee8871b88339cc1c6bcb9ac6b243f85818e475334bf301,Material use,G78,Plastics: PP (incl. forming),closed_loop_source,Material procurement / cradle-to-gate; excludes use and end-of-life
defra2024_ps_primary_material_production,plastic,ps,4.36744048,4367.44048,kg CO2e/tonne,1000,UK Government DEFRA 2024 Greenhouse Gas Conversion Factors,2024,True,"Value and unit extracted from supplied workbook, not package material verification",ghg-conversion-factors-2024-condensed_set__for_most_users__v1_1.xlsx,02287cec3dfc1f3e6bee8871b88339cc1c6bcb9ac6b243f85818e475334bf301,Material use,D79,Plastics: PS (incl. forming),primary_material_production,Material procurement / cradle-to-gate; excludes use and end-of-life
defra2024_ps_closed_loop_source,plastic,ps,2.66039912,2660.39912,kg CO2e/tonne,1000,UK Government DEFRA 2024 Greenhouse Gas Conversion Factors,2024,True,"Value and unit extracted from supplied workbook, not package material verification",ghg-conversion-factors-2024-condensed_set__for_most_users__v1_1.xlsx,02287cec3dfc1f3e6bee8871b88339cc1c6bcb9ac6b243f85818e475334bf301,Material use,G79,Plastics: PS (incl. forming),closed_loop_source,Material procurement / cradle-to-gate; excludes use and end-of-life
defra2024_pvc_primary_material_production,plastic,pvc,2.93577335,2935.77335,kg CO2e/tonne,1000,UK Government DEFRA 2024 Greenhouse Gas Conversion Factors,2024,True,"Value and unit extracted from supplied workbook, not package material verification",ghg-conversion-factors-2024-condensed_set__for_most_users__v1_1.xlsx,02287cec3dfc1f3e6bee8871b88339cc1c6bcb9ac6b243f85818e475334bf301,Material use,D80,Plastics: PVC (incl. forming),primary_material_production,Material procurement / cradle-to-gate; excludes use and end-of-life
